Timestamp,gender,edu_level,study_time,study_method,tech_use,best_time,break_freq,prep_method,sleep_time,exercise,diet,focus,phone_use,env,sm_use,gpa_year,gpa_semester
4/4/2025 0:12:02,Male,University,2-4 hours,Self-study,Yes,Evening,15+ min/hour,1-2 weeks before,6-8 hours,1-2 times,Balanced diet,Yes,Yes,Silent,< 15 min/hour,6.0,6.0
4/4/2025 0:42:41,Female,University,> 4 hours,Self-study,Yes,Evening,15+ min/hour,1-2 weeks before,6-8 hours,1-2 times,No specific diet,Yes,Yes,Silent,15-30 min/hour,7.0,6.0
4/4/2025 1:29:37,Male,University,2-4 hours,Self-study,Yes,Late night,Almost no breaks,1-2 weeks before,4-6 hours,Never,No specific diet,No,No,Silent,Never,8.25,8.4
4/4/2025 3:31:23,Male,University,1-2 hours,Self-study,Yes,Late night,15+ min/hour,1-2 weeks before,4-6 hours,Never,No specific diet,Yes,Yes,Silent,15-30 min/hour,8.0,8.5
4/4/2025 8:32:17,Male,University,1-2 hours,"Self-study, Online learning",Yes,Late night,15+ min/hour,1-2 weeks before,6-8 hours,3-4 times,"Special diet (Vegan, Keto, etc.)",Yes,Yes,Silent,> 30 min/hour,5.3,5.3
4/4/2025 8:45:28,Male,University,2-4 hours,"Self-study, Online learning",Yes,Evening,10-15 min/hour,1-2 weeks before,4-6 hours,1-2 times,No specific diet,Yes,Yes,Silent,< 15 min/hour,8.0,7.5
4/4/2025 9:46:49,Male,University,2-4 hours,Self-study,No,Late night,5 min/hour,1-2 weeks before,6-8 hours,3-4 times,Balanced diet,Yes,Yes,Soft background music,< 15 min/hour,6.5,6.5
4/4/2025 9:46:53,Female,University,2-4 hours,Self-study,Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,3-4 times,Balanced diet,Yes,Yes,Soft background music,< 15 min/hour,7.94,7.0
4/4/2025 9:59:37,Male,University,> 4 hours,"Self-study, Tutoring",Yes,Morning,10-15 min/hour,1-2 weeks before,6-8 hours,5+ times,Balanced diet,No,Yes,Silent,< 15 min/hour,8.5,8.25
4/4/2025 10:05:58,Male,University,2-4 hours,"Tutoring, Online learning",Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,1-2 times,Balanced diet,Yes,Yes,Silent,< 15 min/hour,5.5,6.5
4/4/2025 10:07:43,Male,University,1-2 hours,"Group study, Tutoring",Yes,Morning,15+ min/hour,1-2 weeks before,4-6 hours,3-4 times,No specific diet,Yes,Yes,Soft background music,> 30 min/hour,8.4,7.5
4/4/2025 10:18:00,Male,University,2-4 hours,"Self-study, Tutoring",Yes,Late night,Almost no breaks,1-2 weeks before,6-8 hours,1-2 times,Balanced diet,Yes,Yes,Soft background music,< 15 min/hour,3.21,2.5
4/4/2025 10:20:29,Male,University,1-2 hours,Self-study,Yes,Evening,5 min/hour,1-2 weeks before,6-8 hours,5+ times,No specific diet,Yes,Yes,Silent,Never,8.0,8.0
